0x2d54: reset
0x6170: function_51
0x6350: function_e_49
0x6414: function_e_50
0x6478: function_e_51
0x64cc: function_e_6
0x6520: function_e_52
0x6578: spi_enable
0x658c: spi_config
0x65f0: spi_slave_select_output
0x6604: function_e_4
0x6624: function_17
0x66b8: clock_init
0x6718: function_e_56
0x6780: function_e_57
0x6808: function_68
0x6814: function_69
0x6820: function_70
0x6854: function_e_58
0x68d8: ptr_write_func_ptrs
0x6918: function_66
0x695c: function_67
0x6a10: function_65
0x6a74: function_81
0x6a84: usb_get_descriptor
0x6ae8: function_6
0x6af2: usb_entry
0x6ca8: function_23
0x6cc6: function_75
0x6d06: gen_remote_wakeup
0x6d14: ptr_set_desc_ptr
0x6d30: usb_set_intr_flags
0x6d3c: usb_init
0x6d94: usb_dp_wake_up
0x6db0: usb_dp_pull_up
0x6dcc: usb_ckcu_voodoo
0x6dd4: usb_ep_data_toggle
0x6de4: usb_ep_stall
0x6df4: usb_set_ep_intr
0x6e00: usb_get_ep_buff
0x6e18: usb_get_ep_buff_end
0x6e3c: usb_get_ep_len
0x6e4a: function_e_67
0x6e64: usb_get_ep_intr
0x6e72: usb_get_ep_tcnt
0x6e84: function_e_70
0x6eaa: usb_read_ep_buff
0x6ee4: usb_recv
0x6f14: function_e_71
0x6f24: function_e_72
0x6f30: function_e_73
0x6f44: usb_copy_send
0x6f8c: usb_enable_intr
0x6f9c: function_e_75
0x6fbc: usb_get_intr_flags
0x6fcc: jump_1
0x6fd0: usb_set_lpmode_pdwn
0x6fe0: usb_clear_csr
0x6ff0: function_82
0x7064: ptr_write_data
0x70a8: usb_copy_ep_setup
0x70b8: usb_set_genrsm
0x70c8: usb_set_adrset
0x70dc: usb_intr
0x70e8: watchdog_init
0x7144: watchdog_reload_timer
0x7154: disconnect_cmd
0x7158: flash_crc_cmd
0x7178: flash_erase_cmd
0x71b8: flash_read_write_cmd
0x729c: update_start_cmd
0x72b0: function_e_78
0x7328: function_e_79
0x7444: function_e_80
0x7490: word_copy
0x74a0: usb_get_ep_reg
0x74b0: function_e_81_unsued
0x74c0: sram_stack_zero
0x74d0: function_e_82
0x7780: function_e_83
0x77b8: function_e_84
0x7848: function_e_85
0x7918: function_e_86
0x79d4: function_e_87
0x7a50: function_e_88
0x7a7c: function_e_89
0x7a98: function_e_90
0x7ac4: function_e_91
0x7b50: function_24
0x7b94: main
0x7cdc: function_e_92
0x7dc8: function_e_93
0x7e08: function_e_94
0x7e7c: function_e_95
0x7f18: function_e_8
0x80a4: function_e_7
0x8160: function_e_5
0x8278: function_e_9
0x82c4: function_e_10
0x8310: function_e_11
0x833c: function_1
0x83bc: function_e_14
0x8580: function_e_6
0x864a: function_e_96
0x8718: function_e_12
0x878c: function_e_13
0x87fc: function_e_15
0x88bc: function_80
0x88ec: function_26
0x8934: function_e_97
